T,X,Y
0,29.524205630402847,58
0,12.272501035673338,28
0,16.262561309428676,40
0,19.260130263972062,44
0,9.68861577099409,20
0,16.016524583247584,32
0,15.992876913136548,30
0,1.962205549236634,8
0,24.141264045307945,52
0,20.803988127356394,46
0,10.996568208265924,25
0,14.627613910434231,28
0,20.042394993574014,37
0,13.909148678466824,34
0,14.058007370619627,28
0,4.374068700073675,17
0,20.436642495135104,37
0,16.991047242296307,33
0,18.195679390079707,36
0,3.7878037450412787,11
0,29.205597529491804,63
0,17.234684283650864,35
0,12.902880453708896,30
0,32.232577766088895,63
0,15.636911761114831,32
0,4.394570406827402,8
0,12.758177156578506,26
0,-2.30652081577378,-3
0,24.395172394746037,52
0,12.668205451839851,38
0,10.059571798363457,18
0,24.579761052603963,51
0,2.791395284753289,10
0,20.283434850608728,43
1,-0.5153184249694043,11
0,10.70272528266553,21
0,6.366241235202139,17
0,27.695805017708192,55
0,30.12928702343467,65
0,13.36468998469548,30
0,22.725865937148285,49
0,14.560108789981197,30
0,20.544495098623855,38
0,9.977302428628281,19
0,2.333286374663553,9
0,1.5752107321620716,5
0,19.064974814060097,43
0,33.9807604224616,66
0,18.155293044063097,41
0,11.80316304479318,29
0,31.296150898655526,58
0,17.89841477309755,39
0,16.811471881692924,42
0,18.02062188444254,36
0,14.940982419465223,35
0,13.524189275288958,30
0,4.520292271715567,14
0,20.012992985448328,41
0,15.241796396480847,31
0,25.544687378752087,52
0,13.049452252417229,27
0,0.749040971756255,2
0,15.203114944841085,30
0,29.596298373973447,65
0,12.9326150165479,27
0,8.881145111834005,17
0,6.451264621934536,13
0,7.599865511397013,19
0,13.598450105598696,23
0,6.560143252334358,17
0,27.981112924780668,61
0,13.738918111396956,34
0,16.86918697195784,35
0,27.505916165870055,55
0,28.026548163335285,59
0,14.298136263859513,31
0,18.655793723907987,44
0,21.88021267501888,46
0,14.457156317201758,30
0,1.775897176331931,2
0,21.23764562962488,44
0,23.154818438564263,49
0,19.324020914384086,45
0,8.611642746294258,20
0,14.431781501536276,35
0,11.273841449094906,29
0,13.60231010137738,27
0,26.375081541813383,52
0,28.236637067145246,57
0,21.355345547277288,44
0,20.389960958226638,41
0,21.413031916447085,47
0,15.902062507148456,36
0,15.394692308103469,37
0,10.61083850099141,25
0,15.553060399599408,32
0,34.07957589301009,72
0,22.952314634030607,46
0,13.263063812585095,29
0,12.224586782931828,25
0,9.084080067314034,24
0,18.994962797900605,32
0,19.132365548020644,43
0,4.455026743992494,14
0,19.89068157793362,42
0,11.444221835852023,26
0,27.413769253190686,58
0,17.25475186963347,41
0,29.741840397281884,67
0,12.334985656911925,27
0,13.69612906783375,35
0,18.3984668181592,37
0,24.447586393316307,53
0,20.527059909019247,45
0,6.131808450179497,11
0,17.463205612918134,38
0,16.177957908324483,33
0,12.567451251552065,30
0,10.81515765686112,21
0,29.980617914789157,57
0,12.876908149107493,24
0,9.232618902977539,21
0,21.096902662499524,46
0,17.044983818098025,38
0,15.393489069552658,31
0,22.25041448840394,49
0,19.909003327141484,41
0,18.89752000760874,40
0,23.713603875131273,53
0,18.269091390678323,39
0,11.064624407276218,19
0,13.101742172642211,31
0,11.832221317565505,26
0,17.677776455812804,37
0,7.376120845994356,21
0,1.3405922661713898,3
0,16.705239396787164,38
1,5.307835600354446,19
1,0.3841752116389987,16
0,18.986646270533505,35
0,10.311574431011675,24
0,19.969003377912607,43
0,11.753169984602888,29
0,7.0243008943553615,15
0,6.051859889151874,13
0,11.880582218370312,30
0,13.812937550033762,29
0,9.412319327870453,22
0,13.75113669749265,30
0,3.711181630300203,11
0,16.11591155981021,31
0,1.6508100655969695,4
0,14.449149464366151,31
0,21.578352878236608,46
0,24.735510417958587,55
0,29.715041974952733,63
0,3.549698825210463,11
0,22.069801604435884,46
0,25.650257552926774,58
0,23.84445587870373,48
0,8.565409479150091,19
0,19.294374648927832,37
0,30.88044537781716,61
0,4.021810861147239,13
0,19.810701602058018,42
0,24.89832388527266,47
0,10.427271874731172,23
0,20.663762426287644,43
0,7.4328599360410355,14
0,9.50233134854609,22
0,9.46335802536922,21
0,17.538461590551353,38
0,15.272149871737858,36
0,23.632921661776518,48
0,8.47776708608847,23
0,14.949794799260012,32
0,23.68861170890805,49
0,20.486217377879562,47
0,5.402869315350152,14
0,21.32162947966169,44
0,12.172656961563474,26
0,19.083092303157194,41
0,18.405443320183267,35
0,25.75455107174903,56
0,16.93247951788295,36
0,1.1695530279383508,1
0,5.041122248166445,10
0,21.849235083419124,49
0,13.933469334099112,27
0,25.103832480752505,59
0,18.187510543448195,36
0,10.00747411243579,23
0,24.659254077785718,44
0,9.540818547766715,21
0,-0.4210840662027522,0
0,32.51036440850278,69
0,0.7140089790224344,4
0,21.091302871834554,44
0,23.510814151669383,56
0,17.176526904812736,39
0,2.532825250895291,5
0,24.12011948368712,52
0,4.46765026689228,3
0,5.250971480876268,11
0,13.106653498680268,32
0,22.308036592935977,45
0,18.40091124584635,40
0,22.486146286300148,44
0,12.450849355623653,30
0,14.622533707552323,32
0,6.902905694678408,16
0,13.465076374218594,32
0,20.745025214479163,49
0,13.601375568199042,32
0,19.803676438516923,37
0,11.413805987603846,26
0,11.260867257681987,26
0,16.313349197820667,32
0,14.440947977533675,26
0,20.739081940811666,43
0,17.42632193284768,36
0,29.922770363142593,62
0,14.244043963911993,29
0,14.181978801949594,31
0,7.678951489718436,19
0,16.18222373935349,34
0,21.462631509377594,46
0,10.077634868749104,21
0,15.602621897922978,29
0,21.748454081438695,46
0,14.984726807914468,35
0,11.846901590814191,34
0,23.784745206241624,44
0,16.776156524450116,34
0,19.17251604594306,38
0,25.37114760168415,54
0,25.162527347757063,50
0,13.222366540207819,29
0,11.79656224421665,29
0,18.27447146665705,37
0,14.937699718089604,32
0,0.8011094457412185,9
0,26.2028938773271,57
0,16.154890619994053,30
0,21.89102373318773,52
0,6.616667485758642,14
0,26.30562847006715,56
0,11.293897551501548,24
0,15.13866341221338,31
0,4.788602642180985,10
0,14.6644021061473,34
0,14.161568538473826,28
0,14.517115686786244,28
0,19.508037942046553,40
0,16.48276678294802,35
0,23.806261000760653,44
0,12.254734514788911,29
0,8.031872730285087,16
0,15.847148867039508,36
0,21.02694429043027,49
0,25.957134183742603,55
0,22.511371484511507,49
0,1.876474658733386,5
0,19.01646686448173,38
0,27.682974183369872,52
0,16.50061093077344,35
0,11.87165999886379,24
0,18.473286821543674,32
0,11.974064126231237,27
0,21.11290532723243,49
0,15.896044228339061,35
0,27.144001039972025,60
0,19.99602198792745,42
0,10.208922507234691,20
0,20.837050271067735,44
0,23.488093601848888,48
0,11.452353161641883,22
0,12.593644780038955,31
0,-2.4414661888096596,-1
0,23.22724791172348,47
0,11.297964928401655,26
0,-0.9787957762615314,0
0,1.8498263993624775,8
0,14.216398748435989,36
0,22.085279763448852,45
0,15.287483049519807,29
0,19.774222073014254,46
0,7.188002986199431,24
0,5.269074983420159,11
0,23.085766453331768,46
0,19.937155673398543,39
0,15.755929200468737,34
0,26.25674100014178,55
0,8.390476335298155,18
0,12.637869425541108,30
0,24.21097064650213,48
0,30.702355137585,62
0,16.067404799732262,31
0,29.436155260810636,65
0,11.17991508045353,28
0,18.63799878502181,44
0,14.609411335865493,29
0,3.294012348876848,13
0,18.06378268034286,39
0,23.46199754494713,51
0,14.813863808470293,34
0,15.436358997948393,32
0,27.143418535434563,56
0,6.00229143839667,10
0,4.019293452581779,9
0,10.767686843358778,23
0,6.4270177114336295,12
0,26.77031421167669,56
0,18.477512940276153,43
0,9.08725516660417,19
0,11.084166692157947,22
0,38.88853752578207,78
0,11.119279631252976,25
0,9.903802659589552,27
0,18.434457359431008,40
0,21.106019677395977,45
0,17.77345470859578,34
0,8.730993068212912,21
0,6.726503439488843,18
0,20.76912442598628,43
0,15.566478511819637,33
0,2.868536238091046,6
0,25.368007946672584,55
0,22.202632084083948,51
0,14.072366271154918,32
0,13.917888618584996,32
0,17.85167830714003,38
0,10.50392605287784,22
0,5.213500318720586,11
0,18.58014205327034,38
0,4.487307430293955,12
0,19.125814426312495,41
0,4.470340249192494,14
0,15.206326157657566,35
0,14.914843691558515,37
0,30.261034077128443,65
0,7.484933523328644,17
0,4.6804334499414395,12
0,10.830581553817478,19
