T,X,Y
0,21.194505703185474,46
1,4.25157518882725,17
0,25.995489821914024,53
1,-8.613766918913722,-18
1,11.250785687611588,28
0,6.38166375080613,23
0,22.31795228696626,47
0,4.118777423906904,9
0,30.57474898324694,64
0,3.6433108282654736,13
1,32.227679405520234,73
1,19.58405305715201,46
0,16.245753305066987,31
0,19.486289081449723,41
0,33.54062916298462,66
1,23.14464041586463,55
0,-1.8670465890608199,3
0,25.553796468784572,57
1,17.854213554423435,41
0,3.0638192314883703,6
1,22.08386217632213,47
1,6.311139265933424,21
0,17.449544802281224,39
0,17.86594348883087,41
1,10.812816680214489,30
0,21.180521690461724,41
0,7.82718537401205,12
1,17.529457434374574,46
1,11.621478562147743,28
0,14.538674994642017,37
0,31.383127172516705,59
0,16.89635554289723,33
0,7.301020254243294,14
0,15.06215864999881,33
0,9.845892727712071,24
1,16.211901986624728,38
1,17.2954022999332,44
0,16.679851843769068,32
0,16.670484600942043,34
0,11.644323190176436,22
0,19.593622257973337,40
0,24.458860213193105,49
1,11.036364000828883,30
0,15.532797639940359,44
0,16.48558427794539,31
1,26.029994201428096,59
0,24.634699206666195,54
1,10.159615391126298,28
0,16.578836116006944,40
1,4.048141745427307,12
0,8.276075697980245,21
0,16.120186684909374,32
1,21.039503193275213,52
0,23.635162282920238,50
0,13.513608329783908,30
0,5.17644676306654,11
0,19.175098022860766,35
1,14.615675358648748,33
0,19.39168089044857,43
1,17.2809933523892,41
1,21.72582642572909,53
1,21.237034267560432,46
0,22.74879192713495,50
0,12.326727937531057,30
0,23.96398471143236,44
0,11.975769495388079,27
1,16.67950235832051,47
1,30.88473177354261,67
1,18.854419772987598,48
0,6.670949698415646,16
1,27.923423956710852,66
0,24.000737827334415,49
0,25.123788643972798,50
0,17.57766073840116,36
1,18.766595429037253,44
0,14.135970682617526,29
0,10.400541620284063,21
0,28.239960392935544,62
0,13.053114378666375,27
0,12.154414514566398,23
0,12.452038969543727,25
0,30.898746067371093,66
0,23.025088015246595,42
1,13.056701888494171,35
1,15.635020440200943,41
0,20.08360507245365,46
0,23.027739906417327,47
1,3.116078285410616,11
1,23.23026990043762,54
1,14.255789749622842,36
1,10.5117210474064,32
1,12.87747115890804,33
0,22.33541910161139,46
1,30.067458809728354,64
0,17.183357542745874,36
0,20.45522990791101,44
1,9.487804543170416,30
1,19.930756748036934,48
0,22.58117737285135,52
1,4.095751694341937,19
0,11.89671990070676,24
0,22.32638947283572,44
1,1.9287958462883363,9
0,13.008800434986501,28
0,20.80557969933411,42
1,2.475513368549789,15
1,12.826772648493133,35
1,16.438705549124776,44
0,23.123149699573577,50
0,5.770108348551233,13
0,24.876082998120783,53
0,18.44540000837823,37
0,25.574767830331812,54
1,25.30576283610904,56
1,18.726325789230756,48
1,19.88598613072508,39
